date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2015-07-24,7.03,7.26,7.0,6.96,24711162.0,-0.09,-1.27,6.968,7.221,7.123,39549838.4,39146255.0,51314178.9,2.59
2015-07-17,7.21,7.37,7.09,6.85,40790844.0,-0.26,-3.54,6.938,7.252,7.071,39827253.6,41469898.0,51690010.6,4.27
2015-07-10,7.15,7.88,7.35,6.05,70813056.0,0.6,8.89,7.1,7.301,7.032,39763807.2,43291488.0,51366621.2,7.41
2015-07-03,6.79,7.29,6.75,6.21,38022188.0,0.1,1.5,7.184,7.378,6.959,32309872.8,46718205.6,48196943.6,3.98
2015-06-26,6.84,7.34,6.65,6.36,23411942.0,-0.2,-2.92,7.276,7.481,6.914,35132180.8,51379786.8,47970220.2,2.45
2015-06-19,7.92,7.99,6.85,6.8,26098238.0,-1.05,-13.29,7.474,7.55,6.866,38742671.6,57036504.6,48637650.1,2.73
2015-06-12,7.8,8.22,7.9,7.72,40473612.0,0.13,1.67,7.566,7.536,6.825,43112542.4,60147445.6,49005083.2,4.24
2015-06-05,7.21,7.8,7.77,7.16,33543384.0,0.56,7.77,7.502,7.391,6.76,46819168.8,61546076.8,48699405.2,3.51
2015-05-29,7.64,8.16,7.21,7.08,52133728.0,-0.43,-5.63,7.572,7.251,6.718,61126538.4,64495590.4,48410946.0,5.46
2015-05-22,7.22,7.66,7.64,7.08,41464396.0,0.33,4.51,7.686,7.171,6.694,67627392.8,64470073.6,49320622.0,4.34
2015-05-15,7.57,7.8,7.31,7.27,47947592.0,-0.27,-3.56,7.626,7.024,6.636,75330337.6,63482102.8,48176408.6,5.02
2015-05-08,8.08,8.56,7.58,7.35,59006744.0,-0.54,-6.65,7.506,6.889,6.579,77182348.8,61910123.2,48086142.6,6.17
2015-04-30,8.05,9.27,8.12,7.95,105080232.0,0.34,4.37,7.28,6.763,6.511,76272984.8,59441754.4,47187009.8,11.0
2015-04-24,7.26,8.11,7.78,7.1,84638000.0,0.44,6.0,6.93,6.54,6.393,67864642.4,49675681.6,44877254.6,8.86
2015-04-17,6.74,7.48,7.34,6.65,79979120.0,0.63,9.39,6.656,6.346,6.332,61312754.4,44560653.6,43715421.0,8.37
2015-04-10,6.49,6.79,6.71,6.47,57207648.0,0.26,4.03,6.422,6.181,6.235,51633868.0,40238795.6,40617977.8,5.99
2015-04-03,6.35,6.58,6.45,6.34,54459924.0,0.08,1.26,6.272,6.113,6.155,46637897.6,37862720.8,38081245.3,5.7
2015-03-27,6.36,6.48,6.37,6.2,63038520.0,-0.04,-0.62,6.246,6.128,6.095,42610524.0,35852733.6,36129052.45,6.6
2015-03-20,6.18,6.54,6.41,6.13,51878560.0,0.24,3.89,6.15,6.184,6.034,31486720.8,32326301.6,33371552.88,5.43
2015-03-13,6.0,6.27,6.17,5.95,31584688.0,0.21,3.52,6.036,6.216,5.977,27808552.8,34171170.4,31179662.38,3.31
2015-03-06,6.28,6.28,5.96,5.9,32227796.0,-0.36,-5.7,5.94,6.248,5.921,28843723.2,32870714.4,29796483.3,3.37
2015-02-27,6.06,6.4,6.32,5.98,34323056.0,0.43,7.3,5.954,6.269,5.881,29087544.0,34262162.0,28496506.83,3.59
2015-02-17,5.85,5.92,5.89,5.81,7419504.0,0.05,0.86,6.01,6.259,5.828,29094943.2,34932265.2,27009725.7,0.78
2015-02-13,5.62,5.92,5.84,5.55,33487720.0,0.15,2.64,6.218,6.246,5.799,33165882.4,40078827.6,26763870.13,3.5
2015-02-06,5.98,6.11,5.69,5.65,36760540.0,-0.34,-5.64,6.396,6.318,5.772,40533788.0,42870188.4,25422401.23,3.96
2015-01-30,6.58,6.72,6.03,6.02,33446900.0,-0.57,-8.64,6.556,6.288,5.76,36897705.6,40997160.0,24161807.33,3.61
2015-01-23,6.53,6.82,6.6,6.19,34360052.0,-0.33,-4.76,6.584,6.197,5.74,39436780.0,38299769.8,22721264.35,3.7
2015-01-16,6.64,7.04,6.93,6.5,27774200.0,0.2,2.97,6.508,6.061,5.697,40769587.2,36405371.3,21326696.23,2.99
2015-01-09,6.59,7.41,6.73,6.45,70327248.0,0.24,3.7,6.274,5.884,5.627,46991772.8,34416804.15,20380312.38,7.58
2014-12-31,6.38,6.51,6.49,6.15,18580128.0,0.32,5.19,6.24,5.738,5.556,45206588.8,28188154.35,17232791.33,2.0
2014-12-26,6.28,6.66,6.17,5.8,46142272.0,-0.05,-0.8,6.02,5.594,5.495,45096614.4,26722252.2,16544244.15,5.05
2014-12-19,5.75,6.33,6.22,5.65,41024088.0,0.46,7.99,5.81,5.492,5.448,37162759.6,22730851.65,14507996.3,4.49
2014-12-12,6.3,6.58,5.76,5.66,58885128.0,-0.8,-12.2,5.614,5.397,5.396,32041155.4,19087186.2,12903089.05,6.45
2014-12-05,5.41,6.78,6.56,5.34,61401328.0,1.17,21.71,5.494,5.351,5.363,21841835.5,13448912.65,10242653.43,6.73
2014-11-28,5.15,5.42,5.39,5.12,18030256.0,0.27,5.27,5.236,5.226,5.284,11169719.9,7974614.05,7336890.28,1.98
2014-11-21,5.25,5.27,5.12,5.06,6472998.0,-0.12,-2.29,5.168,5.231,5.264,8347890.0,7326454.65,6609311.11,0.71
2014-11-14,5.17,5.43,5.24,5.14,15416067.0,0.08,1.55,5.174,5.283,5.261,8298943.7,7142758.9,6555065.49,1.69
2014-11-07,5.27,5.27,5.16,5.12,7888528.5,-0.11,-2.09,5.18,5.333,5.261,6133217.0,6248021.15,5962387.91,0.86
2014-10-31,5.04,5.29,5.27,4.99,8040750.0,0.22,4.36,5.208,5.37,5.258,5055989.8,6343820.6,5723935.41,0.88
2014-10-24,5.15,5.17,5.05,5.04,3921106.5,-0.1,-1.94,5.216,5.373,5.251,4779508.2,6277428.3,5440981.21,0.43
2014-10-17,5.25,5.26,5.15,5.12,6228266.5,-0.12,-2.28,5.294,5.395,5.25,6305019.3,6366236.1,5326044.97,0.68
2014-10-10,5.31,5.34,5.27,5.22,4587433.5,-0.03,-0.57,5.392,5.404,5.247,5986574.1,6285140.95,5138276.34,0.5
2014-09-30,5.31,5.35,5.3,5.27,2502392.5,-0.01,-0.19,5.486,5.394,5.239,6362825.3,6718991.9,5024987.06,0.27
2014-09-26,5.42,5.42,5.31,5.22,6658342.0,-0.13,-2.39,5.532,5.375,5.226,7631651.4,7036394.2,5061991.06,0.73
2014-09-19,5.73,5.74,5.44,5.38,11548662.0,-0.2,-3.55,5.53,5.341,5.208,7775348.4,6699166.5,4856759.66,1.27
2014-09-12,5.74,5.75,5.64,5.51,4636040.5,-0.1,-1.74,5.496,5.297,5.187,6427452.9,5892167.58,4406696.98,0.51
2014-09-05,5.52,5.76,5.74,5.49,6468689.5,0.21,3.8,5.416,5.239,5.158,6583707.8,5967372.08,4349209.13,0.71
2014-08-29,5.31,5.64,5.53,5.31,8846523.0,0.23,4.34,5.302,5.189,5.133,7075158.5,5676754.68,4260132.43,0.97
2014-08-22,5.26,5.44,5.3,5.22,7376827.0,0.03,0.57,5.218,5.145,5.122,6441137.0,5104050.22,4204030.13,0.81
2014-08-15,5.24,5.34,5.27,5.21,4809184.5,0.03,0.57,5.152,5.128,5.109,5622984.6,4604534.13,4043076.21,0.53
2014-08-08,5.17,5.3,5.24,5.11,5417315.0,0.07,1.35,5.098,5.104,5.097,5356882.25,4285853.84,4031838.81,0.59
2014-08-01,5.13,5.35,5.17,5.11,8925943.0,0.06,1.17,5.062,5.09,5.097,5351036.35,3991411.74,4018132.23,0.98
2014-07-25,4.96,5.12,5.11,4.89,5676415.5,0.14,2.82,5.076,5.084,5.087,4278350.85,3330982.21,3926577.16,0.62
2014-07-18,5.0,5.04,4.97,4.95,3286065.0,-0.03,-0.6,5.072,5.076,5.099,3766963.45,3087587.91,4260442.58,0.36
2014-07-11,5.05,5.08,5.0,4.95,3478672.75,-0.06,-1.19,5.104,5.074,5.119,3586083.65,3014352.81,4772583.13,0.38
2014-07-04,5.26,5.3,5.06,5.02,5388085.5,-0.18,-3.44,5.11,5.076,5.119,3214825.42,2921226.39,5175953.89,0.59
2014-06-27,5.1,5.26,5.24,5.05,3562515.5,0.15,2.95,5.118,5.077,5.093,2631787.12,2731046.19,5044907.83,0.39
2014-06-20,5.13,5.21,5.09,5.02,3119478.5,-0.04,-0.78,5.092,5.076,5.054,2383613.57,2843510.19,4880622.24,0.34
2014-06-13,5.0,5.14,5.13,4.99,2381666.0,0.1,1.99,5.08,5.099,5.023,2408212.37,3304010.04,4799577.33,0.26
2014-06-06,4.99,5.1,5.03,4.96,1622381.62,-0.07,-1.37,5.044,5.09,4.996,2442621.97,3481618.29,4793577.42,0.18
2014-05-30,5.13,5.14,5.1,5.02,2472894.0,-0.01,-0.2,5.042,5.089,4.978,2627627.35,3777823.78,4882823.78,0.27
2014-05-23,5.03,5.14,5.11,4.91,2321647.75,0.08,1.59,5.036,5.103,4.944,2830305.25,4044852.73,4903377.61,0.25
2014-05-16,4.99,5.19,5.03,4.96,3242472.5,0.08,1.62,5.06,5.089,4.912,3303406.8,4522172.1,4926181.76,0.36
2014-05-09,5.01,5.07,4.95,4.91,2553714.0,-0.07,-1.39,5.118,5.121,4.888,4199807.7,5433297.25,4898143.54,0.28
2014-04-30,5.09,5.14,5.02,4.93,2547408.5,-0.05,-0.99,5.136,5.163,4.878,4520614.6,6530813.45,4964259.58,0.28
2014-04-25,5.19,5.31,5.07,5.04,3486283.5,-0.16,-3.06,5.136,5.162,4.873,4928020.2,7430681.4,5145456.38,0.38
2014-04-18,5.32,5.44,5.23,5.16,4687155.5,-0.09,-1.69,5.17,5.108,4.859,5259400.2,7358769.48,5402492.4,0.51
2014-04-11,5.02,5.47,5.32,5.02,7724477.0,0.28,5.56,5.118,5.032,4.85,5740937.4,6917734.29,5517143.18,0.85
2014-04-04,5.03,5.12,5.04,4.98,4157748.5,0.02,0.4,5.124,4.946,4.822,6666786.8,6295144.63,5367931.78,0.46
2014-03-28,5.19,5.3,5.02,4.99,4584436.5,-0.22,-4.2,5.19,4.902,4.809,8541012.3,6105536.55,5574413.75,0.5
2014-03-21,5.1,5.28,5.24,4.99,5143183.5,0.27,5.43,5.188,4.866,4.784,9933342.6,5987823.78,5611788.9,0.56
2014-03-14,5.3,5.35,4.97,4.82,7094841.5,-0.38,-7.1,5.046,4.784,4.736,9458138.75,5761902.5,5463053.44,0.78
2014-03-07,5.34,5.57,5.35,5.02,12353724.0,-0.02,-0.37,4.946,4.735,4.706,8094531.17,5330191.43,5226778.11,1.35
2014-02-28,4.91,5.58,5.37,4.69,13528876.0,0.36,7.19,4.768,4.655,4.662,5923502.45,4362989.83,4703031.28,1.48
2014-02-21,4.54,5.17,5.01,4.5,11546088.0,0.48,10.6,4.614,4.593,4.615,3670060.8,3397705.7,4041937.25,1.27
2014-02-14,4.47,4.58,4.53,4.46,2767164.25,0.06,1.34,4.544,4.584,4.587,2042304.95,2860231.35,3612078.95,0.3
2014-02-07,4.44,4.48,4.47,4.4,276803.62,0.01,0.22,4.522,4.609,4.583,2065666.25,3446215.33,3560362.51,0.03
2014-01-30,4.57,4.57,4.46,4.45,1498580.38,-0.14,-3.04,4.524,4.667,4.589,2565851.68,4116552.06,3898732.51,0.16
2014-01-24,4.66,4.66,4.6,4.5,2261667.75,-0.06,-1.29,4.542,4.697,4.591,2802477.2,4440718.93,3967938.51,0.25
2014-01-17,4.43,4.68,4.66,4.39,3407308.75,0.24,5.43,4.572,4.715,4.581,3125350.6,5043290.95,4018923.73,0.37
2014-01-10,4.36,4.49,4.42,4.3,2883970.75,0.04,0.91,4.624,4.702,4.566,3678157.75,5235754.03,3982616.33,0.32
