date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2014-11-28,35.88,40.0,38.85,33.8,328238.97,3.08,8.61,36.99,33.958,30.26,335872.48,288863.86,370705.2,34.84
2014-10-31,39.88,42.28,35.77,35.2,254592.88,-4.03,-10.13,35.57,34.041,28.982,344094.43,291320.06,357608.32,27.02
2014-09-30,38.76,42.0,39.8,36.0,282038.91,1.04,2.68,34.956,34.569,27.88,345610.47,336278.85,348151.36,33.11
2014-08-29,31.99,38.99,38.76,30.88,415525.56,6.99,22.0,32.252,35.114,26.55,316575.86,345968.08,341124.57,48.78
2014-07-31,31.8,34.49,31.77,28.85,398966.06,0.02,0.06,30.44,34.158,25.277,262332.26,344223.6,324155.02,46.84
2014-06-30,32.95,34.0,31.75,28.6,369348.72,-0.95,-2.9,30.926,34.101,24.258,241855.25,389856.04,306453.71,43.36
2014-05-30,26.5,34.27,32.7,22.91,262173.09,6.42,24.43,32.512,32.952,23.275,238545.69,492992.83,289657.0,121.94
2014-04-30,29.11,31.0,26.28,24.87,136865.86,-3.42,-11.52,34.182,31.163,22.255,326947.22,474844.85,279049.41,63.66
2014-03-31,34.2,35.95,29.7,28.1,144307.59,-4.5,-13.16,37.976,29.937,21.546,375360.3,465919.44,274597.93,67.12
2014-02-28,39.2,44.18,34.2,31.82,296580.97,-5.48,-13.81,37.876,28.519,20.622,426114.94,481755.11,269728.79,137.94
2014-01-30,40.45,43.35,39.68,35.1,352800.94,-1.37,-3.34,37.276,26.561,19.558,537856.83,452546.54,258014.96,164.09
2013-12-31,42.43,48.5,41.05,34.6,704180.75,-4.2,-9.28,33.392,23.922,18.259,747439.97,423896.59,243130.91,327.53
2013-11-29,29.45,45.25,45.25,26.8,378931.25,16.05,54.97,28.144,21.191,16.863,622742.49,360023.87,210835.13,176.25
2013-10-31,31.2,38.78,29.2,28.04,398080.78,-2.0,-6.41,21.898,17.986,15.231,556478.58,336281.06,197405.0,185.15
2013-09-30,20.02,34.2,31.2,19.91,855290.44,10.94,54.0,19.162,16.395,14.485,537395.27,304086.44,183652.17,397.81
2013-08-30,14.72,23.57,20.26,14.72,1400716.62,5.45,36.8,15.846,14.414,13.558,367236.25,223051.39,144891.81,651.5
2013-07-31,14.01,15.53,14.81,13.27,80693.35,0.79,5.63,14.452,13.598,13.215,100353.2,86321.18,81389.31,37.53
2013-06-28,15.42,15.56,14.02,12.76,47611.73,-1.5,-9.66,14.238,13.347,13.269,97305.26,83253.96,91507.15,22.14
2013-05-31,15.0,16.48,15.52,14.68,302664.22,0.9,6.16,14.074,13.154,13.399,116083.54,83276.42,101717.25,140.77
2013-04-26,14.62,14.62,14.62,14.62,4495.35,1.33,10.01,13.628,12.724,13.368,70777.61,57702.47,98255.59,2.09
2013-03-15,13.75,14.6,13.29,13.1,66301.37,-0.45,-3.27,12.982,12.555,13.638,78866.52,63483.38,125671.21,30.84
2013-02-28,13.2,14.05,13.74,13.18,65453.62,0.54,4.09,12.744,12.595,13.883,72289.15,62365.24,162560.86,30.44
2013-01-31,13.38,14.2,13.2,12.76,141503.16,-0.09,-0.68,12.456,12.534,13.975,69202.66,61646.38,171891.43,65.82
2012-12-31,11.41,13.84,13.29,10.88,76134.55,1.9,16.68,12.234,12.475,14.015,50469.3,58528.93,173490.81,35.41
2012-11-30,12.16,12.88,11.39,11.11,44939.9,-0.71,-5.87,11.82,12.574,14.056,44627.32,63217.9,178899.49,20.9
2012-10-31,12.2,12.98,12.1,11.78,33414.5,-0.2,-1.63,12.128,12.702,14.212,48100.24,66732.23,186779.47,15.54
2012-09-28,12.08,13.0,12.3,11.27,50021.21,0.21,1.74,12.446,12.832,14.344,52441.33,76457.45,196364.78,23.27
2012-08-31,11.22,12.49,12.09,11.17,47836.35,0.87,7.75,12.612,13.191,14.481,54090.1,99760.33,206121.02,22.25
2012-07-31,12.95,13.36,11.22,11.05,46924.65,-1.71,-13.22,12.716,13.643,14.651,66588.56,120158.08,217427.06,21.83
