datetime,datetime,open,high,low,close,volume,amount
2016-02-02 17:00:00,2016-02-02 17:00:00,1128.333,1129.613,1127.083,1127.703,9.99999999999e+11,0.0
2016-02-02 18:00:00,2016-02-02 18:00:00,1127.693,1127.893,1123.973,1124.533,9.99999999999e+11,0.0
2016-02-02 19:00:00,2016-02-02 19:00:00,1124.543,1125.923,1122.253,1125.783,9.99999999999e+11,0.0
2016-02-02 20:00:00,2016-02-02 20:00:00,1125.813,1128.613,1125.163,1127.393,9.99999999999e+11,0.0
2016-02-02 21:00:00,2016-02-02 21:00:00,1127.503,1128.163,1126.963,1127.683,9.99999999999e+11,0.0
2016-02-02 22:00:00,2016-02-02 22:00:00,1127.643,1129.673,1127.633,1129.523,9.99999999999e+11,0.0
2016-02-02 23:00:00,2016-02-02 23:00:00,1129.593,1129.593,1127.633,1128.908,9.99999999999e+11,0.0
2016-02-03 00:00:00,2016-02-03 00:00:00,1128.82,1128.82,1128.82,1128.82,9.99999999999e+11,0.0
2016-02-03 01:00:00,2016-02-03 01:00:00,1128.903,1128.943,1127.203,1127.303,9.99999999999e+11,0.0
2016-02-03 02:00:00,2016-02-03 02:00:00,1127.293,1127.593,1125.903,1127.163,9.99999999999e+11,0.0
2016-02-03 03:00:00,2016-02-03 03:00:00,1127.143,1128.293,1126.263,1127.953,9.99999999999e+11,0.0
2016-02-03 04:00:00,2016-02-03 04:00:00,1127.973,1128.973,1127.113,1128.163,9.99999999999e+11,0.0
2016-02-03 05:00:00,2016-02-03 05:00:00,1128.163,1128.363,1126.683,1127.383,9.99999999999e+11,0.0
2016-02-03 06:00:00,2016-02-03 06:00:00,1127.383,1128.103,1126.533,1126.543,9.99999999999e+11,0.0
2016-02-03 07:00:00,2016-02-03 07:00:00,1126.563,1128.583,1126.563,1128.083,9.99999999999e+11,0.0
2016-02-03 08:00:00,2016-02-03 08:00:00,1128.083,1129.183,1127.603,1127.893,9.99999999999e+11,0.0
2016-02-03 09:00:00,2016-02-03 09:00:00,1127.943,1128.403,1124.333,1124.383,9.99999999999e+11,0.0
2016-02-03 10:00:00,2016-02-03 10:00:00,1124.423,1127.068,1124.363,1126.363,9.99999999999e+11,0.0
2016-02-03 11:00:00,2016-02-03 11:00:00,1126.323,1127.653,1126.183,1127.653,9.99999999999e+11,0.0
2016-02-03 12:00:00,2016-02-03 12:00:00,1127.643,1130.603,1127.563,1129.873,9.99999999999e+11,0.0
2016-02-03 13:00:00,2016-02-03 13:00:00,1129.853,1130.053,1127.753,1128.213,9.99999999999e+11,0.0
2016-02-03 14:00:00,2016-02-03 14:00:00,1128.213,1130.073,1127.163,1129.783,9.99999999999e+11,0.0
2016-02-03 15:00:00,2016-02-03 15:00:00,1129.783,1132.983,1126.003,1126.323,9.99999999999e+11,0.0
2016-02-03 16:00:00,2016-02-03 16:00:00,1126.293,1132.043,1125.253,1131.953,9.99999999999e+11,0.0
2016-02-03 17:00:00,2016-02-03 17:00:00,1132.333,1139.033,1132.333,1137.613,9.99999999999e+11,0.0
2016-02-03 18:00:00,2016-02-03 18:00:00,1137.543,1140.633,1137.203,1138.023,9.99999999999e+11,0.0
2016-02-03 19:00:00,2016-02-03 19:00:00,1138.023,1140.223,1136.793,1139.313,9.99999999999e+11,0.0
2016-02-03 20:00:00,2016-02-03 20:00:00,1139.333,1145.453,1139.003,1143.553,9.99999999999e+11,0.0
2016-02-03 21:00:00,2016-02-03 21:00:00,1143.533,1143.953,1137.013,1138.213,9.99999999999e+11,0.0
2016-02-03 22:00:00,2016-02-03 22:00:00,1138.173,1142.183,1137.513,1142.093,9.99999999999e+11,0.0
2016-02-03 23:00:00,2016-02-03 23:00:00,1142.133,1143.363,1140.903,1142.443,9.99999999999e+11,0.0
2016-02-04 00:00:00,2016-02-04 00:00:00,1141.71,1141.71,1141.71,1141.71,9.99999999999e+11,0.0
2016-02-04 01:00:00,2016-02-04 01:00:00,1141.623,1142.203,1141.263,1141.823,9.99999999999e+11,0.0
2016-02-04 02:00:00,2016-02-04 02:00:00,1141.803,1143.563,1140.893,1142.863,9.99999999999e+11,0.0
2016-02-04 03:00:00,2016-02-04 03:00:00,1142.903,1143.203,1139.893,1141.203,9.99999999999e+11,0.0
2016-02-04 04:00:00,2016-02-04 04:00:00,1141.193,1141.693,1139.513,1140.593,9.99999999999e+11,0.0
2016-02-04 05:00:00,2016-02-04 05:00:00,1140.553,1142.163,1140.443,1140.443,9.99999999999e+11,0.0
2016-02-04 06:00:00,2016-02-04 06:00:00,1140.443,1141.613,1139.563,1141.083,9.99999999999e+11,0.0
2016-02-04 07:00:00,2016-02-04 07:00:00,1141.083,1143.073,1140.833,1142.863,9.99999999999e+11,0.0
2016-02-04 08:00:00,2016-02-04 08:00:00,1142.863,1143.323,1141.753,1143.213,9.99999999999e+11,0.0
2016-02-04 09:00:00,2016-02-04 09:00:00,1143.243,1143.753,1140.413,1141.803,9.99999999999e+11,0.0
2016-02-04 10:00:00,2016-02-04 10:00:00,1141.693,1144.973,1141.493,1144.813,9.99999999999e+11,0.0
2016-02-04 11:00:00,2016-02-04 11:00:00,1144.853,1147.293,1144.823,1145.843,9.99999999999e+11,0.0
2016-02-04 12:00:00,2016-02-04 12:00:00,1145.823,1147.323,1145.203,1146.963,9.99999999999e+11,0.0
2016-02-04 13:00:00,2016-02-04 13:00:00,1146.973,1147.303,1144.863,1145.133,9.99999999999e+11,0.0
2016-02-04 14:00:00,2016-02-04 14:00:00,1145.133,1147.873,1144.743,1147.553,9.99999999999e+11,0.0
2016-02-04 15:00:00,2016-02-04 15:00:00,1147.553,1154.723,1147.143,1152.773,9.99999999999e+11,0.0
2016-02-04 16:00:00,2016-02-04 16:00:00,1152.843,1155.333,1152.043,1154.493,9.99999999999e+11,0.0
2016-02-04 17:00:00,2016-02-04 17:00:00,1154.543,1156.643,1149.063,1151.643,9.99999999999e+11,0.0
2016-02-04 18:00:00,2016-02-04 18:00:00,1151.613,1154.973,1151.363,1153.983,9.99999999999e+11,0.0
2016-02-04 19:00:00,2016-02-04 19:00:00,1153.973,1156.143,1151.383,1155.203,9.99999999999e+11,0.0
2016-02-04 20:00:00,2016-02-04 20:00:00,1155.223,1157.143,1154.313,1154.843,9.99999999999e+11,0.0
2016-02-04 21:00:00,2016-02-04 21:00:00,1154.813,1157.293,1154.023,1155.873,9.99999999999e+11,0.0
2016-02-04 22:00:00,2016-02-04 22:00:00,1155.863,1156.583,1155.403,1155.703,9.99999999999e+11,0.0
2016-02-04 23:00:00,2016-02-04 23:00:00,1155.703,1155.723,1154.333,1155.338,9.99999999999e+11,0.0
2016-02-05 01:00:00,2016-02-05 01:00:00,1154.98,1155.683,1154.843,1155.373,9.99999999999e+11,0.0
2016-02-05 02:00:00,2016-02-05 02:00:00,1155.423,1156.133,1152.993,1155.523,9.99999999999e+11,0.0
2016-02-05 03:00:00,2016-02-05 03:00:00,1155.543,1156.023,1153.803,1154.183,9.99999999999e+11,0.0
2016-02-05 04:00:00,2016-02-05 04:00:00,1154.183,1156.053,1153.423,1155.743,9.99999999999e+11,0.0
2016-02-05 05:00:00,2016-02-05 05:00:00,1155.743,1155.973,1154.553,1155.613,9.99999999999e+11,0.0
2016-02-05 06:00:00,2016-02-05 06:00:00,1155.553,1156.893,1155.163,1155.223,9.99999999999e+11,0.0
2016-02-05 07:00:00,2016-02-05 07:00:00,1155.213,1155.553,1153.953,1154.673,9.99999999999e+11,0.0
2016-02-05 08:00:00,2016-02-05 08:00:00,1154.733,1156.023,1154.113,1154.143,9.99999999999e+11,0.0
2016-02-05 09:00:00,2016-02-05 09:00:00,1154.193,1155.093,1153.983,1154.233,9.99999999999e+11,0.0
2016-02-05 10:00:00,2016-02-05 10:00:00,1154.153,1156.503,1153.023,1155.713,9.99999999999e+11,0.0
2016-02-05 11:00:00,2016-02-05 11:00:00,1155.703,1158.243,1155.373,1157.383,9.99999999999e+11,0.0
2016-02-05 12:00:00,2016-02-05 12:00:00,1157.383,1158.933,1157.083,1158.873,9.99999999999e+11,0.0
2016-02-05 13:00:00,2016-02-05 13:00:00,1158.883,1160.593,1158.513,1158.893,9.99999999999e+11,0.0
2016-02-05 14:00:00,2016-02-05 14:00:00,1158.893,1159.743,1157.563,1158.583,9.99999999999e+11,0.0
2016-02-05 15:00:00,2016-02-05 15:00:00,1158.583,1163.073,1148.923,1150.983,9.99999999999e+11,0.0
2016-02-05 16:00:00,2016-02-05 16:00:00,1151.023,1151.443,1145.153,1149.503,9.99999999999e+11,0.0
2016-02-05 17:00:00,2016-02-05 17:00:00,1149.453,1154.343,1146.323,1153.613,9.99999999999e+11,0.0
2016-02-05 18:00:00,2016-02-05 18:00:00,1153.543,1156.583,1153.283,1154.853,9.99999999999e+11,0.0
2016-02-05 19:00:00,2016-02-05 19:00:00,1154.883,1158.843,1154.153,1157.143,9.99999999999e+11,0.0
2016-02-05 20:00:00,2016-02-05 20:00:00,1157.253,1158.203,1156.783,1157.483,9.99999999999e+11,0.0
2016-02-05 21:00:00,2016-02-05 21:00:00,1157.493,1162.353,1157.413,1162.333,9.99999999999e+11,0.0
2016-02-05 22:00:00,2016-02-05 22:00:00,1162.303,1174.403,1161.853,1173.893,9.99999999999e+11,0.0
2016-02-08 00:00:00,2016-02-08 00:00:00,1173.34,1173.34,1173.34,1173.34,9.99999999999e+11,0.0
2016-02-08 01:00:00,2016-02-08 01:00:00,1173.34,1173.34,1164.633,1164.813,9.99999999999e+11,0.0
2016-02-08 02:00:00,2016-02-08 02:00:00,1164.783,1168.423,1164.373,1167.983,9.99999999999e+11,0.0
